count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.95966,2.27281,-2.00E+10,-15954.9,16954,16753
81,33,-1.66216,3.23E+22,-0.0454361,1.97E+23,0.58847,0.6,441,-0.232345,622158,0.0561143,4.78E+21,0.601669,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
82,37,-1.67109,3.29E+22,0.11085,1.30E+23,0.589005,0.6,409,-0.235323,590911,0.0394807,-1.46E+21,0.601746,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
83,26,-1.68897,3.20E+22,-0.0347325,7.56E+22,0.588928,0.6,383,-0.235323,572049,0.00198142,-3.64E+21,0.601822,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
84,13,-1.68003,2.69E+22,-0.325908,-9.03E+21,0.588852,0.6,358,-0.238302,563368,-0.0540798,-3.56E+21,0.601898,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
85,11,-1.69195,2.58E+22,-0.438431,-1.23E+23,0.589157,0.6,333,-0.238302,570657,-0.102693,-2.56E+21,0.60228,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
86,18,-1.68897,3.01E+22,-0.446863,-1.57E+23,0.589386,0.6,309,-0.241281,604360,-0.135117,-1.46E+21,0.602127,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
87,21,-1.68897,3.11E+22,-0.369905,-7.21E+22,0.589233,0.6,286,-0.241281,672879,-0.152111,-6.12E+20,0.602203,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
88,15,-1.6979,2.86E+22,-0.278408,7.64E+21,0.589386,0.6,267,-0.238302,770349,-0.11808,-9.67E+19,0.602127,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
89,9,-1.70088,2.46E+22,-0.305785,-1.50E+22,0.589539,0.6,249,-0.241281,7.84E+06,-0.0521392,1.42E+20,0.602203,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
90,11,-1.70386,2.62E+22,-0.354822,-8.04E+22,0.589539,0.6,231,-0.238302,-904686,-0.0108564,2.02E+20,0.602509,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
91,20,-1.70386,3.12E+22,-0.339455,-5.75E+22,0.589691,0.6,214,-0.238302,-509640,0.029158,1.73E+20,0.602432,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
92,27,-1.70088,3.32E+22,-0.241517,5.91E+22,0.589844,0.6,200,-0.238302,-396983,0.0578518,1.14E+20,0.602432,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
93,19,-1.70088,3.08E+22,-0.0958313,1.36E+23,0.589691,0.6,187,-0.241281,-340905,0.0340494,5.88E+19,0.602432,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
94,3,-1.70684,1.88E+22,-0.0298757,3.12E+22,0.589844,0.6,174,-0.238302,-307246,-0.00499554,2.02E+19,0.602509,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
95,1,-1.71578,1.68E+22,-0.134867,-2.12E+23,0.58992,0.6,161,-0.241281,-287165,-0.0197514,-1.16E+18,0.602509,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
96,14,-1.7128,2.87E+22,-0.28208,-2.83E+23,0.589996,0.6,145,-0.241281,-293399,-0.0405405,-9.67E+18,0.602356,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
97,28,-1.70982,3.36E+22,-0.266726,-5.63E+22,0.590073,0.6,125,-0.238302,-655697,-0.0381712,-1.06E+19,0.602509,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
98,35,-1.71875,3.42E+22,-0.18843,2.03E+23,0.590149,0.6,97,-0.238302,380688,0.0132015,-8.10E+18,0.602737,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
99,34,-1.71578,3.42E+22,-0.185474,2.96E+23,0.590149,0.6,67,-0.238302,-177468,0.0508937,-4.89E+18,0.60228,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100,28,-1.72769,3.38E+22,-0.234508,2.56E+23,0.590225,0.6,40,-0.238302,241164,0.0527209,-2.25E+18,0.602661,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
101,27,-1.73067,3.37E+22,-0.3519,1.64E+23,0.590302,0.6,18,-0.238302,-322616,0.0392499,-5.48E+17,0.602661,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
102,26,-1.73365,3.35E+22,-0.44572,7.72E+22,0.590302,0.6,-6,-0.238302,484464,0.0230985,3.00E+17,0.602432,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
103,18,-1.72769,3.11E+22,-0.384225,1.50E+21,0.590378,0.6,-32,-0.241281,377032,-0.00983824,5.70E+17,0.602585,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
104,10,-1.71875,2.60E+22,-0.134927,-9.78E+22,0.590225,0.6,-56,-0.238302,482628,-0.0408092,5.27E+17,0.602737,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
105,11,-1.71875,2.70E+22,0.164735,-1.91E+23,0.590378,0.6,-79,-0.241281,933881,-0.0425669,3.67E+17,0.602661,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
106,16,-1.72173,3.03E+22,0.28408,-1.77E+23,0.590454,0.6,-104,-0.241281,-698576,-0.0518371,2.02E+17,0.602585,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
107,18,-1.7128,3.14E+22,0.276707,-6.59E+22,0.590607,0.6,-133,-0.241281,-567002,-0.0617145,7.95E+16,0.602661,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
108,24,-1.71578,3.34E+22,0.279121,4.89E+22,0.590607,0.6,-158,-0.24426,-514691,-0.0691775,7.41E+15,0.602814,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
109,34,-1.71578,3.48E+22,0.224829,1.27E+23,0.590683,0.6,-177,-0.24426,-503661,-0.0936678,-2.44E+16,0.602966,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
110,37,-1.7128,3.47E+22,0.141767,1.57E+23,0.590607,0.6,-194,-0.24426,-508536,-0.0985413,-3.09E+16,0.603043,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
111,34,-1.70982,3.49E+22,0.129359,1.36E+23,0.590759,0.6,-211,-0.24426,-520151,-0.0739645,-2.53E+16,0.603348,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
112,32,-1.70386,3.50E+22,0.18955,9.33E+22,0.590912,0.6,-223,-0.247239,-533045,-0.0639151,-1.61E+16,0.603271,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
113,32,-1.70982,3.49E+22,0.223417,5.22E+22,0.590836,0.6,-235,-0.24426,-547426,-0.0625888,-7.99E+15,0.603348,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
114,29,-1.70684,3.46E+22,0.157111,1.86E+22,0.590836,0.6,-254,-0.241281,-574475,-0.00508298,-2.48E+15,0.603653,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
115,25,-1.70386,3.42E+22,0.107396,-7.43E+21,0.591064,0.6,-275,-0.241281,-617530,0.0801574,4.61E+14,0.603271,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
