count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,5.13243,2.3294,4.18E+11,-16548.8,17229,16319
83,-17,-1.88557,-1.30E+23,-0.539358,-4.88E+24,0.588928,0.6,477,-0.342559,662697,-0.115464,-5.59E+17,0.602203,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
84,-17,-1.88259,-1.30E+23,-0.578229,-1.62E+25,0.588852,0.6,477,-0.339581,656180,-0.0933308,-8.59E+16,0.602814,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
85,-13,-1.87663,-1.07E+23,-0.418426,-1.59E+25,0.589233,0.6,482,-0.345538,665408,-0.038903,1.33E+17,0.602661,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
86,-9,-1.87961,3.63E+22,-0.159774,-1.02E+25,0.589233,0.6,488,-0.342559,677536,-0.0457355,1.87E+17,0.602432,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
87,-10,-1.88259,7.13E+22,-0.0300124,-2.79E+24,0.58931,0.6,493,-0.345538,679649,-0.0561215,1.59E+17,0.603043,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
88,-11,-1.88557,-1.50E+25,-0.0483617,-9.83E+25,0.589539,0.6,495,-0.348517,686285,-0.0852766,1.05E+17,0.602737,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
89,-13,-1.87961,-1.10E+23,-0.0628485,-2.13E+26,0.589539,0.6,494,-0.342559,682161,-0.0942637,5.39E+16,0.602966,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
90,-19,-1.88259,-1.72E+23,-0.011794,-1.05E+26,0.589462,0.6,492,-0.339581,677921,0.00750523,1.84E+16,0.603043,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
91,-29,-1.88259,2.58E+24,0.0125184,8.58E+25,0.589767,0.6,492,-0.342559,677921,0.107492,-1.21E+15,0.603043,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
92,-34,-1.8945,4.93E+23,-0.0808122,1.64E+26,0.589767,0.6,497,-0.339581,684478,0.119768,-8.98E+15,0.603271,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
93,-34,-1.89152,5.04E+23,-0.237789,1.42E+26,0.589996,0.6,503,-0.342559,696362,0.0927761,-9.77E+15,0.603195,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
