count,ms_speed_left_model
850,-45.1419
851,-1.00749
852,-12.1037
853,1.00643
854,-293.385
855,-102.571
856,119.974
857,122.945
858,-65.3426
859,-163.12
860,-26.9058
861,89.8489
862,7.58078
863,-0.490951
864,133.793
865,140.613
866,72.0145
867,25.0266
868,-51.0364
869,-180.206
870,-134.759
871,31.1267
872,51.0972
873,-17.7365
874,-33.527
875,-87.1388
876,-69.4996
877,46.3684
878,110.318
879,52.1958
880,-52.6527
881,-121.863
882,-12.1543
883,102.293
884,41.3826
885,-42.2937
886,-43.9695
887,44.7506
888,103.473
889,99.3092
890,57.0857
891,-37.6092
892,-57.3038
893,37.4505
894,27.2328
895,-146.093
896,-197.465
897,-24.3045
898,69.6697
899,0.486366
900,-35.615
901,2.42143
902,-14.651
903,14.1758
904,34.634
905,53.9381
906,33.4406
907,0.491673
908,-20.6153
909,-12.8752
910,-0.490703
911,-43.5181
912,-13.3039
913,68.2031
914,106.348
915,87.6321
916,101.286
917,112.507
918,42.0512
919,-67.6085
920,-114.579
921,-26.0898
922,6.21533
923,-66.9815
924,-95.7313
925,39.7248
926,96.2351
927,18.5382
928,-97.0198
929,-123.547
930,-64.7202
931,55.2419
932,52.3999
933,-19.9185
934,-33.4825
935,63.2735
936,138.914
937,102.118
938,-9.41405
939,-64.0986
940,-57.1547
941,8.5735
942,30.9084
943,-30.3475
944,-57.8744
945,30.4325
946,120.624
947,70.2148
948,-62.1901
949,-72.9715
950,-9.9113
951,-8.46505
952,-57.4663
953,0
954,39.788
955,-20.3224
956,-67.2013
957,-2.47444
958,69.0824
959,58.877
960,25.4022
961,18.3532
962,-63.6424
963,-140.986
964,-71.9267
965,115.034
966,181.261
967,97.3643
968,5.99349
969,-42.0139
970,-89.7848
971,-153.902
972,-105.727
973,22.5003
974,10.169
975,-54.6019
976,-20.5482
977,110.144
978,78.1592
979,45.4262
980,57.0227
981,8.35532
982,-4.5385
983,102.477
984,83.7887
985,27.3247
986,45.8338
987,58.07
988,48.8054
989,51.8762
990,57.3844
991,52.8609
992,-3.56445
993,-27.1539
994,-58.742
995,-34.1136
996,-70.1918
997,-77.6129
998,-25.2025
999,58.8408
1000,121.769
1001,80.3246
1002,7.64679
1003,-57.2719
1004,-70.5154
1005,-60.3236
1006,-63.4021
1007,-21.7687
1008,31.357
1009,-9.04988
1010,-66.6654
1011,-8.32654
1012,90.5345
1013,-1.5241
1014,-125.871
1015,-82.1549
1016,28.0746
1017,7.75825
1018,-9.27047
1019,51.0278
1020,73.7055
1021,48.5007
1022,0
1023,-40.3616
1024,-19.3723
1025,49.3988
1026,87.7131
1027,74.7174
1028,-2.034
1029,-91.8378
1030,-121.621
1031,-48.9848
1032,4.90025
1033,-22.8756
1034,-38.0641
1035,11.711
1036,25.7789
1037,6.4867
1038,-24.0449
1039,1.51866
1040,76.7711
1041,105.805
1042,33.095
1043,-46.225
1044,-63.184
1045,1.52212
1046,-16.8811
1047,-99.2667
1048,-99.1417
1049,37.4803
1050,131.019
1051,49.5838
1052,-133.935
1053,-215.765
1054,-62.98
1055,141.355
1056,144.538
1057,59.0746
1058,-43.3135
1059,-60.7183
1060,-27.1383
1061,25.1229
1062,62.245
1063,51.1545
1064,41.2537
1065,71.6124
1066,47.0372
1067,-37.9808
1068,-72.3046
1069,6.65724
1070,49.3719
1071,-10.5159
1072,-23.5836
1073,-7.09949
1074,-17.3189
1075,-40.449
1076,30.6898
1077,142.181
1078,103.864
1079,22.0987
1080,0.510959
1081,-16.4556
1082,-42.8633
1083,-67.0802
1084,-77.3648
1085,-73.0256
1086,-32.3583
1087,32.8316
1088,57.9981
