Count,OriginalData,ExponentialMovingAverage
557,83.954102,7.791242
558,56.129398,3.367155
559,-39.276600,-1.906703
560,-67.840500,-11.062504
561,-7.465340,-9.901130
562,33.686901,1.371703
563,25.872299,8.107041
564,7.676700,-4.683705
565,-25.348400,-10.848400
566,-41.361099,0.565879
567,-8.046420,12.580732
568,32.780800,3.695810
569,57.220001,-9.995820
570,47.702000,-8.482501
571,31.419500,11.272591
572,31.473499,19.535114
573,-39.264198,10.450242
574,-114.552002,8.291502
575,-50.507900,7.177452
576,75.845596,3.605154
577,89.140999,3.441174
578,37.667500,0.854354
579,1.017560,2.978617
580,-8.203300,7.239379
581,-47.249001,17.490995
582,-80.190498,14.855431
583,-73.634903,-5.239170
584,-2.529380,-23.085598
585,59.626499,-6.190867
586,-0.506948,17.025084
587,-201.576004,10.189564
588,36.843102,-1.765771
589,116.382004,-9.902548
590,65.575798,-7.239728
591,48.631401,4.134042
592,55.998901,15.693062
593,-23.559900,7.951983
594,-139.231995,-8.370108
595,-123.275002,-19.667311
596,-18.854300,-11.679361
597,0.502260,3.420006
598,-19.021500,2.170065
599,81.874397,-8.365150
600,150.544998,-6.219852
601,159.714005,1.778323
602,95.129501,4.219888
603,0.000000,5.789241
604,-96.667801,1.607415
605,-76.770103,-3.402727
606,-6.318730,-2.479166
607,-6.835260,3.330729
608,-73.424896,1.805437
609,-92.180298,-1.384790
610,-35.474899,-3.116122
611,44.404999,-5.821737
612,91.061699,0.595720
613,88.136597,11.133141
614,38.102699,10.374444
615,-0.509046,6.673211
616,-62.629200,2.536550
617,-80.071404,-5.906595
618,-7.218690,-8.226020
619,54.501701,-4.695546
620,39.196301,-2.871403
621,15.083300,2.489023
622,-31.518000,11.587461
623,-89.703697,15.805882
624,-74.817398,7.779993
625,16.245501,-11.721465
626,51.271801,-20.579601
627,41.216900,-0.634720
628,1.012760,14.949040
629,-83.536598,8.672282
630,-104.073997,-4.739259
631,-18.765301,-5.934671
632,80.106300,-3.258670
633,86.491203,3.125797
634,41.698399,9.121408
635,-33.008499,0.502359
636,-64.221603,-15.991942
637,1.517870,-22.348862
638,94.887398,-5.378990
639,99.742500,19.064497
640,69.508202,20.130772
641,5.087280,9.020494
642,-112.759003,-3.961895
643,-146.334000,-5.047805
644,-60.326801,4.070960
645,-23.209600,8.713733
646,-25.659000,-0.623697
647,19.490499,-9.608524
648,64.168800,-16.023455
649,33.236599,-11.259431
650,-25.731300,-6.116035
651,-45.141899,-7.920780
652,-1.007490,-6.973552
653,-12.103700,-0.481880
654,1.006430,3.818759
655,-293.385010,0.710744
656,-102.570999,1.462538
657,119.973999,0.043885
658,122.945000,-10.433367
659,-65.342598,-15.386122
660,-163.119995,-10.141203
661,-26.905800,-4.904195
662,89.848900,-4.085417
663,7.580780,-6.316746
664,-0.490951,-10.670547
665,133.792999,-9.976821
666,140.613007,-2.486493
667,72.014503,4.513768
668,25.026600,8.227227
669,-51.036400,5.765656
670,-180.205994,-0.120401
671,-134.759003,-2.779205
672,31.126699,-11.680469
673,51.097198,-20.625765
674,-17.736500,-11.901702
675,-33.527000,4.769022
676,-87.138802,4.748286
677,-69.499603,-3.687690
678,46.368401,-7.656179
679,110.318001,-6.567882
680,52.195801,-10.688154
681,-52.652699,-15.976986
682,-121.862999,-17.186594
683,-12.154300,-7.464499
684,102.292999,3.120241
685,41.382599,-4.259723
686,-42.293701,-32.222786
687,-43.969501,-0.191036
688,44.750599,11.462595
689,103.473000,6.409178
690,99.309196,5.955757
691,57.085701,7.965248
692,-37.609200,-3.703613
693,-57.303799,-20.418480
694,37.450500,-17.113157
695,27.232800,-2.104155
696,-146.093002,-2.335968
697,-197.464996,-8.841987
698,-24.304501,4.505692
699,69.669701,15.088997
700,0.486366,16.040640
701,-35.615002,6.277784
702,2.421430,-6.672100
703,-14.651000,-19.911787
704,14.175800,-16.544107
705,34.633999,-5.996757
706,53.938099,-4.879828
707,33.440601,-13.132337
708,0.491673,-15.400647
709,-20.615299,-7.830181
710,-12.875200,2.879768
711,-0.490703,9.126904
712,-43.518101,7.688582
713,-13.303900,0.501988
714,68.203102,-3.382578
715,106.348000,-9.616184
716,87.632103,-10.050863
717,101.286003,2.012711
718,112.507004,12.553107
719,42.051201,11.066006
720,-67.608498,6.244973
721,-114.579002,-2.453963
722,-26.089800,-10.796048
723,6.215330,-8.444682
724,-66.981499,2.719373
725,-95.731300,5.509831
726,39.724800,4.826664
727,96.235100,1.196056
728,18.538200,-9.902283
729,-97.019798,-14.406629
730,-123.546997,-5.023320
731,-64.720200,7.174489
732,55.241901,8.990364
733,52.399899,3.788316
734,-19.918501,-6.790931
735,-33.482498,-11.543434
736,63.273499,-1.165631
737,138.914001,14.243570
738,102.117996,16.640686
739,-9.414050,12.033253
740,-64.098602,1.807850
741,-57.154701,-15.307420
742,8.573500,-19.378115
