count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.00348,2.89537,170.186,178.853,33515,18125,77.2119
670,-596,-0.357453,152.036,-6.37786,33.1194,0.413376,0.4,5,-0.178727,150.312,-0.125189,-0.0602377,150.292,0.0196568,145.256,6.77966,0.401245,0.4,1,-39,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
671,-601,-0.360432,153.074,-6.0389,24.5754,0.398422,0.4,14,-0.178727,150.492,-0.116442,-0.972454,150.437,0.0550261,146.155,6.91951,0.399185,0.4,1,-39,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
672,-601,-0.39022,152.735,-4.91023,20.2446,0.403534,0.4,20,-0.178727,150.511,-0.101441,0.783892,150.432,0.0785906,145.848,6.88726,0.399261,0.4,1,-39,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
673,-599,-0.399156,152.413,-3.59964,13.2357,0.408112,0.4,13,-0.178727,150.408,-0.0678779,2.06231,150.357,0.0510944,145.572,6.84011,0.40033,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
674,-589,-0.402135,152.973,-2.42733,3.92311,0.39827,0.4,1,-0.178727,150.43,-0.0357079,0.930985,150.427,0.00393264,146.164,6.80939,0.399338,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
675,-575,-0.440859,152.377,-1.64848,0.365518,0.405289,0.4,-1,-0.181705,150.455,-0.0328084,-0.00961402,150.459,-0.00393234,145.742,6.63521,0.39888,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
676,-563,-0.43788,152.407,-1.40259,-5.26073,0.403152,0.4,11,-0.181705,150.47,-0.0627896,0.182902,150.427,0.0432394,145.871,6.536,0.399338,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
677,-561,-0.467668,152.555,-1.34285,-8.78479,0.400635,0.4,20,-0.181705,150.505,-0.078239,0.814272,150.427,0.0785903,146.022,6.53273,0.399338,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
678,-564,-0.482562,152.34,-1.43561,-7.12543,0.404297,0.4,24,-0.181705,150.564,-0.0635059,1.82307,150.469,0.0942975,145.802,6.53834,0.398727,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
679,-565,-0.500435,152.552,-1.60582,-4.98467,0.401245,0.4,25,-0.178727,150.552,-0.0203527,2.68961,150.453,0.0982216,145.985,6.5666,0.398956,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
